ZCTA,Mean Household Income
04849,62743
04851,42795
04852,22248
04853,71802
04854,70198
04855,48074
04856,77966
04858,62912
04859,54773
04860,74459
04861,54029
04862,61001
04863,70661
04864,62954
04901,52860
04910,56421
04911,41912
04912,48338
04915,52409
04917,78788
04918,44545
04920,41230
04921,43269
04922,41867
04923,44245
04924,62005
04925,59698
04926,No Data
04927,49795
04928,54738
04929,51088
04930,46379
04932,54965
04933,No Data
04936,49603
04937,56085
04938,51768
04939,46133
04940,No Data
04941,48863
04942,42618
04943,46423
04944,No Data
04945,47053
04947,65275
04949,43886
04950,53466
04951,49791
04952,54429
04953,55215
04955,52683
04956,51032
04957,56255
04958,46363
04961,41609
04962,35384
04963,76891
04964,61881
04965,49028
04966,49857
04967,64325
04969,55603
04970,63299
04971,52388
04973,51470
04974,43826
04975,No Data
04976,49419
04978,59240
04979,45079
04981,60706
04982,49264
04983,47653
04984,48577
04985,54855
04986,50705
04987,42659
04988,52327
04989,62324
04992,20504
05001,68937
05031,109859
05032,60827
05033,58325
05034,93706
05035,74265
05036,75487
05037,82425
05038,63766
05039,75143
05040,63057
05041,51362
05042,61081
05043,67190
05045,79342
05046,56775
05048,73708
05050,51367
05051,58207
05052,56177
05053,104462
05055,114722
05056,66074
05058,62205
05059,85896
05060,57618
05061,72580
05062,73330
05065,75302
05067,82137
05068,52874
05069,60315
05070,100820
05071,108704
05072,81052
05075,103293
05076,60438
05077,68251
05079,58671
05081,43696
05083,32196
05084,65604
05086,57970
05089,60454
05091,115661
05101,47557
05141,31940
05142,76358
05143,69788
05146,65846
05148,71843
05149,56818
05150,46184
05151,58501
05152,94879
05153,58791
05154,55150
05155,60923
05156,61689
05158,68865
05161,78442
05201,58959
05250,74451
05251,90084
05252,54564
05253,80640
05254,119801
05255,74693
05257,67654
05260,59332
05261,67175
05262,77465
05301,61790
05340,97004
05341,63777
05342,60346
05343,57340
05345,61214
05346,68244
05350,54796
05352,73538
05353,80918
05354,77474
05355,44418
05356,64128
05358,100830
05359,66116
05360,97939
05361,64317
05362,100037
05363,73020
05401,55866
05403,86250
05404,54491
05405,No Data
05408,77857
05439,No Data
05440,70525
05441,65961
05442,56590
05443,69575
05444,71104
05445,172303
05446,83896
05447,49956
05448,72433
05450,63464
05452,84596
05454,81546
05455,82985
05456,68409
05457,66866
05458,83135
05459,55356
05461,79474
05462,84070
